/Users/xiaochoumao/Documents/github repo/摩尔庄园 5.5.0/fresh-port/01-cracked/Payload/MoleWorld.app/MoleWorld:
Indirect symbols for (__TEXT,__picsymbolstub4) 850 entries
address    index name
0x00885100  1183 _objc_getMetaClass
0x00885110  1184 _objc_getProperty
0x00885120  1185 _objc_loadWeak
0x00885130  1186 _objc_loadWeakRetained
0x00885140  1187 _objc_lookUpClass
0x00885150  1188 _objc_msgSend
0x00885160  1189 _objc_msgSendSuper2
0x00885170  1190 _objc_msgSendSuper2_stret
0x00885180  1191 _objc_msgSend_stret
0x00885190  1192 _objc_release
0x008851a0  1193 _objc_removeAssociatedObjects
0x008851b0  1194 _objc_retain
0x008851c0  1195 _objc_retainAutorelease
0x008851d0  1196 _objc_retainAutoreleaseReturnValue
0x008851e0  1197 _objc_retainAutoreleasedReturnValue
0x008851f0  1198 _objc_retainBlock
0x00885200  1199 _objc_setAssociatedObject
0x00885210  1200 _objc_setProperty
0x00885220  1201 _objc_storeStrong
0x00885230  1202 _objc_storeWeak
0x00885240  1203 _objc_sync_enter
0x00885250  1204 _objc_sync_exit
0x00885260  1205 _objc_terminate
0x00885270  1206 _object_getClass
0x00885280  1207 _object_setClass
0x00885290  1208 _object_setIvar
0x008852a0  1215 _protocol_getMethodDescription
0x008852b0  1242 _sel_getName
0x008852c0  1243 _sel_registerName
0x008852d0   414 _CNCopyCurrentNetworkInfo
0x008852e0   415 _CNCopySupportedInterfaces
0x008852f0   697 _SCNetworkReachabilityCreateWithAddress
0x00885300   698 _SCNetworkReachabilityCreateWithName
0x00885310   699 _SCNetworkReachabilityGetFlags
0x00885320   700 _SCNetworkReachabilityScheduleWithRunLoop
0x00885330   701 _SCNetworkReachabilitySetCallback
0x00885340   702 _SCNetworkReachabilityUnscheduleFromRunLoop
0x00885350   707 _SecCertificateCreateWithData
0x00885360   708 _SecIdentityCopyPrivateKey
0x00885370   709 _SecItemAdd
0x00885380   710 _SecItemCopyMatching
0x00885390   711 _SecItemDelete
0x008853a0   712 _SecItemUpdate
0x008853b0   713 _SecKeyDecrypt
0x008853c0   714 _SecKeyEncrypt
0x008853d0   715 _SecKeyGetBlockSize
0x008853e0   716 _SecPKCS12Import
0x008853f0   717 _SecPolicyCreateBasicX509
0x00885400   718 _SecTrustCopyPublicKey
0x00885410   719 _SecTrustCreateWithCertificates
0x00885420   720 _SecTrustEvaluate
0x00885430   721 _SecTrustSetAnchorCertificates
0x00885440   434 _NSAllocateObject
0x00885450   435 _NSClassFromString
0x00885460   437 _NSCopyObject
0x00885470   438 _NSDefaultMallocZone
0x00885480   450 _NSGetUncaughtExceptionHandler
0x00885490   456 _NSHomeDirectory
0x008854a0   458 _NSIntersectionRange
0x008854b0   467 _NSLog
0x008854c0   468 _NSLogv
0x008854d0   475 _NSSearchPathForDirectoriesInDomains
0x008854e0   476 _NSSelectorFromString
0x008854f0   477 _NSSetUncaughtExceptionHandler
0x00885500   482 _NSStringFromClass
0x00885510   483 _NSStringFromProtocol
0x00885520   484 _NSStringFromSelector
0x00885530   485 _NSTemporaryDirectory
0x00885540   493 _NSUnionRange
0x00885550   494 _NSZoneMalloc
0x00885560  1255 _sqlite3_bind_blob
0x00885570  1256 _sqlite3_bind_double
0x00885580  1257 _sqlite3_bind_text
0x00885590  1258 _sqlite3_close
0x008855a0  1259 _sqlite3_column_blob
0x008855b0  1260 _sqlite3_column_bytes
0x008855c0  1261 _sqlite3_column_double
0x008855d0  1262 _sqlite3_column_int
0x008855e0  1263 _sqlite3_column_text
0x008855f0  1264 _sqlite3_exec
0x00885600  1265 _sqlite3_finalize
0x00885610  1266 _sqlite3_last_insert_rowid
0x00885620  1267 _sqlite3_open
0x00885630  1268 _sqlite3_prepare_v2
0x00885640  1269 _sqlite3_step
0x00885650     3 __ZN12byte_array_t10reset_sizeEj
0x00885660     5 __ZN12byte_array_t11read_uint32ERj
0x00885670     6 __ZN12byte_array_t12write_uint32Ej
0x00885680     4 __ZN12byte_array_t10write_int8Ea
0x00885690    61 __ZNSt12_Vector_baseI10qa_class_tSaIS0_EE11_M_allocateEm
0x008856a0    62 __ZNSt12_Vector_baseI4qa_tSaIS0_EE11_M_allocateEm
0x008856b0    63 __ZNSt12_Vector_baseI5pic_tSaIS0_EE11_M_allocateEm
0x008856c0    64 __ZNSt12_Vector_baseI7fbmsg_tSaIS0_EE11_M_allocateEm
0x008856d0    65 __ZNSt12_Vector_baseI7phone_tSaIS0_EE11_M_allocateEm
0x008856e0    66 __ZNSt12_Vector_baseI8fbuser_tSaIS0_EE11_M_allocateEm
0x008856f0    67 __ZNSt15__copy_backwardILb0ESt26random_access_iterator_tagE8__copy_bIP10qa_class_tS4_EET0_T_S6_S5_
0x00885700    68 __ZNSt15__copy_backwardILb0ESt26random_access_iterator_tagE8__copy_bIP4qa_tS4_EET0_T_S6_S5_
0x00885710    69 __ZNSt15__copy_backwardILb0ESt26random_access_iterator_tagE8__copy_bIP5pic_tS4_EET0_T_S6_S5_
0x00885720    70 __ZNSt15__copy_backwardILb0ESt26random_access_iterator_tagE8__copy_bIP7fbmsg_tS4_EET0_T_S6_S5_
0x00885730    71 __ZNSt15__copy_backwardILb0ESt26random_access_iterator_tagE8__copy_bIP7phone_tS4_EET0_T_S6_S5_
0x00885740    72 __ZNSt15__copy_backwardILb0ESt26random_access_iterator_tagE8__copy_bIP8fbuser_tS4_EET0_T_S6_S5_
0x00885750    73 __ZNSt6vectorI10qa_class_tSaIS0_EE13_M_insert_auxEN9__gnu_cxx17__normal_iteratorIPS0_S2_EERKS0_
0x00885760    74 __ZNSt6vectorI10qa_class_tSaIS0_EE15_M_erase_at_endEPS0_
0x00885770    75 __ZNSt6vectorI10qa_class_tSaIS0_EE9push_backERKS0_
0x00885780    76 __ZNSt6vectorI10qa_class_tSaIS0_EED2Ev
0x00885790    77 __ZNSt6vectorI4qa_tSaIS0_EE13_M_insert_auxEN9__gnu_cxx17__normal_iteratorIPS0_S2_EERKS0_
0x008857a0    78 __ZNSt6vectorI4qa_tSaIS0_EE15_M_erase_at_endEPS0_
0x008857b0    79 __ZNSt6vectorI4qa_tSaIS0_EE9push_backERKS0_
0x008857c0    80 __ZNSt6vectorI4qa_tSaIS0_EED2Ev
0x008857d0    81 __ZNSt6vectorI5pic_tSaIS0_EE13_M_insert_auxEN9__gnu_cxx17__normal_iteratorIPS0_S2_EERKS0_
0x008857e0    82 __ZNSt6vectorI5pic_tSaIS0_EE15_M_erase_at_endEPS0_
0x008857f0    83 __ZNSt6vectorI5pic_tSaIS0_EE9push_backERKS0_
0x00885800    84 __ZNSt6vectorI5pic_tSaIS0_EED2Ev
0x00885810    85 __ZNSt6vectorI7fbmsg_tSaIS0_EE13_M_insert_auxEN9__gnu_cxx17__normal_iteratorIPS0_S2_EERKS0_
0x00885820    86 __ZNSt6vectorI7fbmsg_tSaIS0_EE15_M_erase_at_endEPS0_
0x00885830    87 __ZNSt6vectorI7fbmsg_tSaIS0_EE9push_backERKS0_
0x00885840    88 __ZNSt6vectorI7fbmsg_tSaIS0_EED2Ev
0x00885850    89 __ZNSt6vectorI7phone_tSaIS0_EE13_M_insert_auxEN9__gnu_cxx17__normal_iteratorIPS0_S2_EERKS0_
0x00885860    90 __ZNSt6vectorI7phone_tSaIS0_EE9push_backERKS0_
0x00885870    91 __ZNSt6vectorI7phone_tSaIS0_EED2Ev
